peakid,nb_members,death_rate,success_rate,pkname,heightm,latitude,longitude
ACHN,106,0.0,0.0849056603773584,Aichyn,6055,30.2708,81.8597
AMAD,73434,0.0003132064166462,0.0539532096848871,Ama Dablam,6814,27.861111111111114,86.8611111111111
AMOT,26,0.0,0.0384615384615384,Amotsang,6393,28.8347,84.1725
AMPG,13,0.0,0.1538461538461538,Amphu Gyabjen,5630,27.8811,86.8681
AMPH,25,0.0,0.12,Amphu I,6740,27.8703,86.9556
ANID,34,0.0,0.0,Anidesh Chuli,6808,27.7186,88.0708
ANN1,9367,0.0042703106651008,0.0277570193231557,Annapurna I,8091,28.59611111111111,83.82027777777778
ANN2,135,0.0,0.0074074074074074,Annapurna II,7937,28.5347,84.1242
ANN3,135,0.0,0.0444444444444444,Annapurna III,7555,28.5844,83.9917
ANN4,1737,0.0005757052389176,0.0074841681059297,Annapurna IV,7525,28.5375,84.08277777777778
ANNE,22,0.0,0.3636363636363636,Annapurna I East,8026,28.5309,83.8333
ANNM,14,0.0,0.2142857142857142,Annapurna I Middle,8051,28.6001,83.8334
ANNS,114,0.0,0.0263157894736842,Annapurna South,7219,28.51833,83.80611
APIM,116,0.0,0.0689655172413793,Api Main,7132,30.00417,80.93333
ARNK,136,0.0,0.1544117647058823,Arniko Chuli,6034,29.1761,83.6595
BAMO,24,0.0,0.0833333333333333,Bamongo,6400,27.9086,86.4353
BARU,9473,0.0003166895386889,0.0318800802280164,Baruntse,7152,27.871666666666663,86.98
BEDG,49,0.0,0.0816326530612244,Beding Go,6125,27.9259,86.393
BHEM,17,0.0,0.0,Bhemdang Ri,6150,28.2734,85.6678
BHRI,174,0.0,0.0402298850574712,Bhrikuti,6476,28.91935107376957,84.14736542363347
BHRS,466,0.0,0.0879828326180257,Bhrikuti Shail,6361,28.893343093773453,84.22685552975946
BIJO,49,0.0,0.0,Bijora Hiunchuli,6111,29.2919,82.5309
BURK,56,0.0,0.0178571428571428,Burke Kang,6942,28.0369,86.7739
CBAM,72,0.0,0.0277777777777777,Chhopa Bamare,6109,28.0572,86.0919
CHAK,149,0.0067114093959731,0.0402684563758389,Chako,6704,28.8806,84.2886
CHAM,185,0.0108108108108108,0.0378378378378378,Chamlang,7321,27.7756,86.9798
CHAN,25,0.0,0.16,Changla,6563,30.1375,82.1958
CHAW,25,0.0,0.0,Chaw Peak,6404,27.9097,87.9441
CHIV,25,0.0,0.16,Chhiv Himal,6650,28.8734,84.1622
CHND,79,0.0,0.0126582278481012,Chandi Himal,6142,30.3592,81.9514
CHOB,30,0.0,0.2333333333333333,Chobuje,6686,27.8823,86.4916
CHOP,14,0.0,0.2857142857142857,Cho Polu,6700,27.919167,86.981944
CHOY,32870,0.0004867660480681,0.0526924247033769,Cho Oyu,8188,28.094166666666663,86.66083333333334
CHRW,36,0.0,0.0833333333333333,Churen Himal West,7371,28.7322,83.2122
CHUG,53,0.0,0.2075471698113207,Chukyima Go,6258,27.8323,86.4525
CHUM,80,0.0,0.05,Chumbu,6859,28.01365,86.788665
CHUR,36,0.0,0.0,Churen Himal Central,7385,28.732,83.21
CHWT,137,0.0,0.0656934306569343,Changwathang,6130,30.3264,81.8883
DANG,16,0.0,0.1875,Danga,6355,27.817,87.9786
DANS,151,0.0,0.0463576158940397,Danphe Shail,6103,29.6718,83.0081
DHA1,8384,0.0032204198473282,0.0285066793893129,Dhaulagiri I,8167,28.69833333333333,83.4875
DHA2,89,0.0,0.0,Dhaulagiri II,7751,28.763352394155433,83.38825589914873
DHAM,36,0.0,0.0,Dhampus,6012,28.7977,83.6085
DINS,13,0.0,0.1538461538461538,Dingjung Ri,6196,27.9745,86.5228
DOGA,64,0.0,0.0,Dogari,6536,28.7667,83.1003
DOLM,83,0.0,0.1566265060240964,Dolma Khang,6332,27.9372,86.3503
DOMK,92,0.0,0.0217391304347826,Dome Kang,7264,27.876771,88.147109
DORJ,292,0.0,0.0376712328767123,Dorje Lhakpa,6966,28.17389,85.77917
DRAG,170,0.0,0.0176470588235294,Dragmorpa Ri,6185,28.32567,85.66147
DRAN,40,0.0,0.125,Drangnag Ri,6757,27.939441,86.524072
DROM,20,0.0,0.0,Drohmo,6881,27.824351,88.102283
